PartitionKey,RowKey,Timestamp,Name,Name@type,Version,Version@type,Generation,Generation@type,OrchestrationInstance,OrchestrationInstance@type,EventId,EventId@type,IsPlayed,IsPlayed@type,_Timestamp,_Timestamp@type,EventType,EventType@type,ExecutionId,ExecutionId@type,Input,Input@type,TaskScheduledId,TaskScheduledId@type,OrchestrationStatus,OrchestrationStatus@type,Result,Result@type,IsCheckpointComplete,IsCheckpointComplete@type,CheckpointCompletedTimestamp,CheckpointCompletedTimestamp@type
d3f347595aa54175bc1161111fdbda3e,0000000000000001,2024-06-11T14:08:55.7585248Z,hello_orchestrator,String,,String,0,Int32,"{""InstanceId"":""d3f347595aa54175bc1161111fdbda3e"",""ExecutionId"":""8c619fcfcf8f45fc883894d6c2a04032""}",String,-1,Int32,true,Boolean,2024-06-11T14:08:50.5952603Z,DateTime,ExecutionStarted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000000,2024-06-11T14:08:55.7585245Z,,,,,,,,,-1,Int32,false,Boolean,2024-06-11T14:08:50.7583429Z,DateTime,OrchestratorStarted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000002,2024-06-11T14:08:55.7585250Z,raise_my_durable_event,String,,String,,,,,0,Int32,false,Boolean,2024-06-11T14:08:55.6834037Z,DateTime,TaskScheduled,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000003,2024-06-11T14:08:55.7585251Z,,,,,,,,,-1,Int32,false,Boolean,2024-06-11T14:08:55.6844972Z,DateTime,OrchestratorCompleted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000005,2024-06-11T14:09:00.6674351Z,my-durable-event,String,,,,,,,-1,Int32,true,Boolean,2024-06-11T14:08:57.7588127Z,DateTime,EventRaised,String,8c619fcfcf8f45fc883894d6c2a04032,String,"""null""",String,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000008,2024-06-11T14:09:33.5222910Z,,,,,,,,,-1,Int32,true,Boolean,2024-06-11T14:08:57.7840993Z,DateTime,TaskCompleted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,0,Int32,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000004,2024-06-11T14:09:00.6674349Z,,,,,,,,,-1,Int32,false,Boolean,2024-06-11T14:08:57.7982024Z,DateTime,OrchestratorStarted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000006,2024-06-11T14:09:00.6674353Z,,,,,,,,,-1,Int32,false,Boolean,2024-06-11T14:09:00.6654843Z,DateTime,OrchestratorCompleted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000007,2024-06-11T14:09:33.5222907Z,,,,,,,,,-1,Int32,false,Boolean,2024-06-11T14:09:00.6840470Z,DateTime,OrchestratorStarted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,0000000000000009,2024-06-11T14:09:33.5222911Z,,,,,,,,,1,Int32,false,Boolean,2024-06-11T14:09:33.5182137Z,DateTime,ExecutionCompleted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,Failed,String,Orchestrator function 'hello_orchestrator' failed: maximum recursion depth exceeded in comparison,String,,,,
d3f347595aa54175bc1161111fdbda3e,000000000000000A,2024-06-11T14:09:33.5222912Z,,,,,,,,,-1,Int32,false,Boolean,2024-06-11T14:09:33.5195240Z,DateTime,OrchestratorCompleted,String,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,,,,
d3f347595aa54175bc1161111fdbda3e,sentinel,2024-06-11T14:09:33.5222915Z,,,,,,,,,,,,,,,,,8c619fcfcf8f45fc883894d6c2a04032,String,,,,,,,,,true,Boolean,2024-06-11T14:09:33.5200817Z,DateTime
